FName str,LName str,Gender str,AreaCode int,Phone str,City str,State str,Zip int,MaritalStatus str,HasChild str,Salary int,Rate float,SingleExemp float,MarriedExemp float,ChildExemp float
Eneko,Puerta,F,712.0,169-8667,COUNCIL BLUFFS,IA,,S,Y,50000.0,7.8829904,40.0,0.0,40.0
Reihaneh,Morris,F,505.0,253-1103,LAKEWOOD,NM,88254.0,S,Y,70000.0,5.3,3300.0,0.0,3300.0
Joa,Skaar,F,304.0,910-8747,JANE LEW,WV,,S,,30000.0,4.4,2000.0,0.0,0.0
Girija,Maggini,F,,763-7139,WOBURN,MA,,M,N,60000.0,5.3,0.0,7150.0,0.0
Yoonsuck,Delgano,F,207.0,349-4602,FORT KENT MILLS,,4744.0,S,N,50000.0,8.5,2850.0,,0.0
Karakunakara,Seubert,F,701.0,992-2989,GRENORA,ND,58845.0,S,N,20000.0,2.1,3300.0,0.0,0.0
Azaria,Ruffin,F,620.0,,OLATHE,KS,66062.0,M,N,5000.0,3.5,0.0,,0.0
Lilian,Kohne,F,,469-1812,RICHWOODS,MO,63071.0,S,,35000.0,6.0,,0.0,0.0
Vojislav,Kurakake,,301.0,971-3654,BALTIMORE,MD,,M,Y,75000.0,4.75,0.0,4800.0,2400.0
Heung,Christmansson,M,769.0,500-8790,DUMAS,MS,38625.0,M,N,35000.0,5.0,0.0,12000.0,0.0
Mikkel,Das,F,425.0,728-1950,CARLSBORG,WA,98324.0,S,Y,60000.0,0.0,0.0,0.0,0.0
Danu,Selenyi,F,808.0,835-2848,WAIALUA,HI,,M,Y,35000.0,7.3486843,0.0,2080.0,
Yonathan,Aidoud,F,,258-2463,GLENDO,WY,82213.0,S,N,,0.0,,0.0,0.0
Farn,Rowland,F,702.0,706-4205,GABBS,NV,89409.0,S,N,30000.0,0.0,0.0,0.0,0.0
Ville,Maraist,M,307.0,105-8073,CHEYENNE,WY,82009.0,S,,85000.0,0.0,0.0,0.0,0.0
Klara,Lucio,M,920.0,977-4890,LARSEN,,54947.0,S,Y,15000.0,4.707031,700.0,0.0,
Ericka,Aoreira,F,787.0,663-1088,,PR,647.0,S,N,75000.0,0.0,0.0,0.0,0.0
Mengjou,Bitton,F,505.0,,HOBBS,NM,88240.0,M,Y,100000.0,5.3,0.0,6600.0,
,Menhoudj,F,413.0,795-9429,,MA,2769.0,M,Y,40000.0,5.3,0.0,7150.0,1000.0
Jop,Feller,M,775.0,614-7068,CARSON CITY,NV,,S,N,85000.0,0.0,0.0,0.0,0.0
Ulfar,Mayerwieser,F,831.0,115-1162,CARSON,CA,90746.0,M,Y,5000.0,1.0,0.0,174.0,272.0
Evanthia,Farrell,M,307.0,171-1928,WILSON,,83014.0,M,N,,0.0,,0.0,0.0
Ryosei,Garnham,M,402.0,667-5524,,NE,69151.0,M,Y,55000.0,6.84,0.0,206.0,103.0
Przemyslawa,Justus,F,325.0,646-6936,ALLEN,TX,,M,N,,0.0,0.0,0.0,0.0
Delgado,Vamvakos,F,530.0,615-3418,SAN DIMAS,CA,91773.0,M,N,10000.0,1.869,0.0,174.0,0.0
Leen,Read,M,803.0,358-1396,ALCOLU,SC,29001.0,S,N,60000.0,7.0,3300.0,0.0,0.0
Jayadev,Hoeve,F,610.0,630-2992,TATAMY,PA,18085.0,S,Y,5000.0,3.07,0.0,0.0,0.0
Akimou,Gruninger,F,202.0,771-3240,WASHINGTON,DC,20406.0,M,Y,65000.0,,0.0,2740.0,1370.0
Traugot,Davisson,F,870.0,199-1737,NATURAL DAM,AR,72948.0,M,N,60000.0,,0.0,40.0,0.0
,Dolken,M,603.0,209-6311,FARMINGTON,NH,3835.0,M,Y,65000.0,0.0,0.0,0.0,0.0
Dianxiang,Benoit,M,304.0,458-8509,CHARLESTON,WV,25326.0,S,Y,,6.5,2000.0,,2000.0
Phenil,Elustondo,F,,917-3518,KANSAS CITY,MO,,S,N,85000.0,,2100.0,,0.0
Marias,Muniz,M,484.0,291-6883,PECKVILLE,,18452.0,M,Y,,3.07,0.0,0.0,0.0
Jianhui,Wittlich,F,603.0,863-8919,LONDONDERRY,NH,3053.0,S,,20000.0,0.0,,0.0,0.0
Vamsee,Marriott,F,803.0,961-2428,COLUMBIA,SC,29207.0,,N,80000.0,7.0,3300.0,0.0,0.0
Codie,Sreekantaswamy,M,,959-8515,ANASCO,,610.0,S,Y,20000.0,0.0,0.0,0.0,0.0
Quan,Tzolovski,F,480.0,,PRESCOTT,AZ,86304.0,M,Y,90000.0,4.11,0.0,4200.0,2300.0
Kishore,Gomi,M,334.0,929-7312,,AL,35079.0,,,10000.0,5.0,1500.0,0.0,
Krysia,Proietti,F,775.0,976-7991,LAS VEGAS,NV,,S,Y,35000.0,0.0,0.0,0.0,0.0
Salim,Bothner,M,601.0,753-1861,COLUMBUS,MS,39710.0,M,N,90000.0,5.0,0.0,12000.0,0.0
Francis,Genin,F,304.0,754-5090,MIAMI,WV,25134.0,S,,65000.0,6.5,2000.0,0.0,0.0
,Ramnath,F,302.0,260-4974,,DE,19735.0,S,Y,50000.0,5.268182,110.0,0.0,110.0
Shailey,Jungst,,540.0,172-8537,SHARPS,VA,22548.0,M,Y,25000.0,5.75,0.0,1800.0,900.0
,Staab,F,301.0,889-7163,BALTIMORE,MD,,M,N,95000.0,,0.0,4800.0,0.0
Armand,McConalogue,F,513.0,216-3420,ZANESVILLE,OH,43702.0,S,N,65000.0,2.7036924,1300.0,,0.0
Aarno,Reinman,F,208.0,827-3955,POCATELLO,ID,83204.0,S,N,85000.0,7.8,3300.0,,0.0
Lowell,Sillion,M,843.0,320-6510,COLUMBIA,SC,29204.0,S,,30000.0,7.0,3300.0,0.0,
Gary,Lumbreras,F,912.0,,BRISTOL,GA,31518.0,,Y,5000.0,4.4,2700.0,0.0,3000.0
Umang,Jupin,F,228.0,625-9386,D LO,MS,39062.0,S,,50000.0,5.0,6000.0,0.0,1500.0
,Lester,F,808.0,883-8993,MILILANI,HI,96789.0,M,Y,55000.0,8.25,0.0,2080.0,1040.0
Kifung,Zarate,,731.0,500-9265,,TN,37916.0,,N,10000.0,0.0,0.0,0.0,0.0
Felix,Andrzejak,,401.0,423-2177,PROVIDENCE,RI,2904.0,,N,100000.0,0.0,0.0,0.0,
Ceri,,M,618.0,,,IL,62675.0,S,N,85000.0,3.0,2000.0,0.0,0.0
Jarkko,Sutherland,F,785.0,751-1163,POMONA,KS,,M,Y,75000.0,6.45,0.0,4500.0,2250.0
Samira,Felder,M,479.0,143-1173,CRUMROD,AR,72328.0,S,Y,25000.0,6.16338,20.0,0.0,20.0
Dixie,Gehmeyr,M,607.0,215-2752,BUFFALO,NY,14226.0,M,,85000.0,4.4460363,0.0,,0.0
Luping,Silly,M,,407-4756,PLEASANTVILLE,NJ,8232.0,M,N,15000.0,1.4,0.0,2000.0,0.0
Paul,Taneja,M,,740-4365,LAGUNA HILLS,CA,92653.0,M,N,100000.0,9.3,0.0,174.0,0.0
Arash,Shrira,,585.0,777-2266,MOOERS FORKS,NY,12959.0,S,N,20000.0,4.0695124,0.0,0.0,0.0
Charlie,Camps,F,248.0,559-5665,GRAND RAPIDS,MI,49560.0,M,N,50000.0,3.9,0.0,6200.0,0.0
Yatsutaka,Ratnaker,F,203.0,372-4174,BOLTON,CT,6043.0,,N,50000.0,5.0,,24500.0,0.0
Fintan,Nabeshima,,843.0,945-9307,CHARLESTON,SC,29423.0,,N,70000.0,7.0,3300.0,,0.0
Kouhei,Yamashita,M,505.0,417-5437,ALBUQUERQUE,NM,,S,N,55000.0,5.3,3300.0,0.0,0.0
Wenjun,Sereno,,,798-1054,WHELEN SPRINGS,AR,71772.0,,Y,40000.0,7.0,0.0,40.0,20.0
Harriet,Schmalz,M,615.0,545-5613,CORDOVA,TN,38016.0,S,Y,100000.0,,0.0,0.0,
Jongin,Proskurowski,F,605.0,482-4995,SPRINGFIELD,SD,57062.0,S,Y,85000.0,0.0,0.0,0.0,0.0
Tejo,Nanard,F,,370-5141,LAC DU FLAMBEAU,WI,54538.0,,,40000.0,5.1414094,0.0,1400.0,0.0
Xinyu,Olano,F,706.0,713-5211,TUCKER,GA,30084.0,M,Y,70000.0,6.0,0.0,5400.0,3000.0
Stafford,Abels,M,939.0,341-2845,,PR,954.0,,Y,100000.0,0.0,0.0,0.0,0.0
Shachindra,Minnear,F,404.0,,ATLANTA,GA,,,,85000.0,6.0,2700.0,0.0,3000.0
Neelam,Ishai,M,319.0,582-9082,,IA,50527.0,S,N,60000.0,8.98,,0.0,0.0
Vijayalakshmi,Hazony,M,971.0,880-8794,WOODBURN,OR,97071.0,M,N,45000.0,9.0,0.0,318.0,0.0
Jaroslaw,Spelke,M,717.0,787-5991,WYNNEWOOD,PA,19096.0,M,N,35000.0,3.07,0.0,0.0,0.0
Sangchul,Gingras,M,985.0,983-2251,SHREVEPORT,LA,71136.0,M,Y,5000.0,2.0,,9000.0,1000.0
Rame,,F,,404-9762,SAVERY,WY,82332.0,S,N,20000.0,0.0,0.0,0.0,0.0
Kohji,Rilling,M,585.0,849-2949,WASHINGTON MILLS,NY,13479.0,S,,40000.0,4.1853657,,,1000.0
Eleanor,Hancart,M,229.0,,,GA,31032.0,M,N,80000.0,6.0,0.0,5400.0,0.0
Kazuya,Schoelles,F,978.0,,BOSTON,MA,2133.0,S,N,70000.0,5.3,3575.0,0.0,
Kit,Frisby,F,401.0,276-7239,WOOD RIVER JUNCTION,RI,2894.0,M,N,20000.0,0.0,0.0,0.0,0.0
,Fanty,F,252.0,,DAVIDSON,NC,28035.0,S,Y,5000.0,6.0,3300.0,0.0,3300.0
Cynthia,Orwant,M,810.0,556-3798,CLARKSVILLE,MI,48815.0,M,N,,3.9,0.0,6200.0,0.0
Daoud,Houtekamer,,308.0,961-5482,HALLAM,NE,68368.0,S,N,50000.0,6.84,103.0,0.0,0.0
Dominik,,M,401.0,952-9110,PAWTUCKET,RI,2862.0,M,Y,45000.0,0.0,0.0,0.0,0.0
,Kurata,M,210.0,975-4407,ARLINGTON,TX,76016.0,,N,,0.0,0.0,0.0,0.0
Vinit,Vamvakos,M,308.0,532-8967,OMAHA,,68179.0,S,N,40000.0,6.84,103.0,0.0,0.0
Roderic,Cattrall,F,859.0,767-7951,,KY,,M,Y,45000.0,4.333333,0.0,40.0,
Rajanarayanan,,F,808.0,748-2551,HONOLULU,HI,96807.0,S,N,,3.743421,1040.0,0.0,0.0
Gavriela,Groendijk,F,574.0,799-7588,,IN,46571.0,M,Y,35000.0,3.4,0.0,2000.0,1000.0
Ryotaro,Repeko,,302.0,346-8041,YORKLYN,DE,19736.0,,Y,10000.0,2.540909,110.0,0.0,110.0
Kousuke,Schultes,F,,250-2653,WETHERSFIELD,,6129.0,M,N,5000.0,3.0,0.0,,0.0
Takayuki,Haldar,,208.0,146-7086,LOWMAN,ID,83637.0,S,N,65000.0,,3300.0,0.0,0.0
Jiro,Rosengren,F,757.0,670-3810,CRIDERS,VA,22820.0,,,,5.75,0.0,1800.0,900.0
Merrill,Salvail,M,785.0,191-3165,BELLE PLAINE,KS,,M,Y,50000.0,6.45,0.0,4500.0,2250.0
Shekar,Ouchi,F,818.0,945-2444,RESEDA,CA,91335.0,M,,10000.0,1.869,0.0,174.0,272.0
Polly,Sutton,M,701.0,,GRAND FORKS,ND,58208.0,M,Y,10000.0,2.1,0.0,6600.0,3300.0
Yoshito,Roehmer,M,304.0,630-8459,SMITHVILLE,WV,26178.0,S,N,90000.0,6.5,2000.0,0.0,0.0
Catarina,Viles,F,207.0,900-4762,ORRINGTON,ME,4474.0,S,N,70000.0,8.5,,0.0,0.0
Onkar,Curless,M,443.0,,,MD,21628.0,S,Y,75000.0,4.75,2400.0,0.0,2400.0
Palash,Kark,M,402.0,485-2751,HOLSTEIN,NE,68950.0,M,Y,65000.0,6.84,0.0,206.0,103.0
Jurek,Kavaky,,702.0,,WELLINGTON,NV,89444.0,S,Y,15000.0,0.0,,0.0,0.0
Katsunori,Gardarin,M,601.0,228-5632,BOONEVILLE,MS,38829.0,S,N,,5.0,6000.0,0.0,0.0
Surajit,,F,802.0,,EAST MIDDLEBURY,VT,5740.0,S,Y,15000.0,3.6,3300.0,0.0,
Safa,Dziadosz,F,317.0,552-1617,VELPEN,IN,47590.0,S,N,40000.0,3.4,,0.0,0.0
Ellen,,F,,383-6312,BEVERLY,KS,67423.0,S,N,25000.0,5.4666667,2250.0,0.0,0.0
Kilin,Parberry,F,606.0,,FAIRVIEW,KY,42221.0,M,Y,30000.0,3.5,0.0,40.0,
Tsunenori,Mitsuhashi,M,907.0,558-6064,WASILLA,,99654.0,M,,50000.0,0.0,0.0,0.0,0.0
Efthimis,Lomanto,F,,230-1697,MANLEY HOT SPRINGS,AK,99756.0,S,N,100000.0,0.0,0.0,,0.0
Taomas,Hechler,,,523-7563,MEMPHIS,TN,38131.0,S,N,30000.0,0.0,0.0,0.0,0.0
Yannick,Largo,F,907.0,112-7066,SAND POINT,AK,99661.0,S,Y,,0.0,0.0,0.0,0.0
Corneliu,Shiode,M,202.0,616-6144,WASHINGTON,DC,20208.0,,Y,25000.0,7.875,1370.0,0.0,1370.0
Claudius,Coy,M,,507-9767,WASHINGTON,DC,20026.0,M,,80000.0,9.0,0.0,,1370.0
,Simons,F,612.0,604-5677,WAUBUN,MN,56589.0,M,Y,75000.0,7.85,0.0,6600.0,3300.0
Yanni,Tavangarian,F,847.0,924-1089,INGLESIDE,IL,60041.0,S,N,,3.0,2000.0,0.0,0.0
Miriam,,,702.0,990-6323,LAS VEGAS,NV,,M,N,,0.0,0.0,0.0,0.0
,Gray,M,570.0,763-6494,SACRAMENTO,PA,17968.0,S,N,70000.0,3.07,0.0,0.0,0.0
Bozena,Mitusi,,702.0,252-7851,LAS VEGAS,NV,89138.0,M,Y,45000.0,,0.0,0.0,0.0
Raf,Hemenway,M,307.0,615-2407,YODER,WY,82244.0,M,Y,20000.0,0.0,,0.0,0.0
Liz,Hogarth,F,402.0,861-2464,,NE,69212.0,M,N,45000.0,6.84,0.0,206.0,0.0
Moray,Halpern,M,401.0,987-9447,CRANSTON,,,M,Y,90000.0,0.0,,0.0,0.0
Paola,,,907.0,825-1987,,AK,99825.0,,Y,25000.0,0.0,0.0,0.0,
Kauko,,F,216.0,498-2403,BRYAN,OH,43506.0,M,N,75000.0,3.0356412,0.0,2600.0,
Felicidad,,F,857.0,251-8130,CHATHAM,MA,2633.0,S,N,100000.0,5.3,3575.0,0.0,0.0
Tadahiko,Alexanyan,F,337.0,886-8665,,LA,71477.0,M,Y,90000.0,6.0,0.0,,
Taketoshi,Boughanem,F,203.0,730-6142,WEST GRANBY,CT,6090.0,S,N,35000.0,5.0,12750.0,0.0,0.0
Kazunori,Mundy,M,775.0,749-5811,ROUND MOUNTAIN,NV,89045.0,S,N,55000.0,0.0,0.0,0.0,0.0
,Slavenburg,F,337.0,553-4618,OPELOUSAS,LA,70571.0,S,Y,,6.0,,0.0,1000.0
,Cermak,M,616.0,664-4298,METAMORA,MI,48455.0,M,Y,20000.0,3.9,,6200.0,3100.0
Roar,Veevers,F,,314-4051,DRUMMOND,MT,59832.0,M,N,40000.0,6.9,0.0,3800.0,0.0
,Leutenegger,M,812.0,351-2636,MILROY,IN,46156.0,M,Y,20000.0,3.4,0.0,2000.0,1000.0
Damodar,Cannon,M,313.0,565-1957,ROCHESTER,MI,48309.0,,Y,70000.0,3.9,3100.0,0.0,3100.0
Hwee,Takanami,M,276.0,287-3707,,VA,22471.0,M,Y,50000.0,5.75,0.0,,900.0
Gilford,,M,401.0,992-8666,PEACE DALE,RI,2883.0,S,Y,70000.0,0.0,,0.0,0.0
Viljem,McNeill,F,970.0,391-6924,DENVER,CO,80228.0,S,Y,40000.0,4.63,0.0,0.0,0.0
,Spelt,F,701.0,880-7656,TOLNA,ND,58380.0,M,Y,80000.0,2.68309,0.0,6600.0,
,Murer,M,970.0,178-6021,WESTCLIFFE,CO,81252.0,S,N,20000.0,4.63,,0.0,0.0
Assaf,Cosmo,,980.0,885-5506,MORRISVILLE,NC,,M,Y,75000.0,7.305944,0.0,6600.0,
Viswanathan,Gori,F,503.0,148-6787,EUGENE,OR,97408.0,S,N,80000.0,,159.0,0.0,0.0
Ersan,,F,,481-5275,SALESVILLE,OH,43778.0,,Y,75000.0,3.0356412,1300.0,0.0,1300.0
Oscar,,F,207.0,837-3333,EAST WINTHROP,ME,4343.0,S,Y,5000.0,2.2135036,2850.0,0.0,2850.0
Kosho,Budimac,F,,,WEST MEDFORD,MA,2156.0,S,,100000.0,5.3,3575.0,0.0,1000.0
Denise,Chmielinska,F,,719-7712,TUCSON,AZ,85712.0,S,N,35000.0,,2100.0,0.0,0.0
Iannis,Radovic,M,715.0,858-3984,MUSCODA,WI,53573.0,,Y,60000.0,5.488912,700.0,0.0,400.0
Fuhua,Rouet,M,308.0,,,NE,68136.0,M,N,45000.0,6.84,,206.0,0.0
,Mulkers,M,432.0,,AMARILLO,TX,79109.0,S,Y,5000.0,0.0,0.0,0.0,0.0
Weifeng,Karloff,F,302.0,803-8230,NEWARK,DE,19725.0,M,Y,95000.0,5.95,0.0,220.0,110.0
Mariangiola,Pascual,M,,207-4605,SNELLVILLE,GA,30039.0,S,Y,20000.0,6.0,2700.0,0.0,3000.0
,Broadwell,M,912.0,743-2376,CANTON,GA,30115.0,,N,65000.0,6.0,2700.0,0.0,0.0
Deane,Widjojo,F,361.0,639-5647,,TX,77244.0,,Y,65000.0,0.0,0.0,0.0,0.0
Donko,Janetzko,F,352.0,455-7571,SANIBEL,FL,33957.0,M,Y,85000.0,0.0,,0.0,0.0
Charanjit,Hemmerling,M,337.0,,SUNSHINE,,70780.0,M,,50000.0,6.0,0.0,,
Gihwan,Lautenschlager,F,330.0,747-9199,BRILLIANT,OH,43913.0,S,Y,40000.0,1.8738205,1300.0,,1300.0
Wamberto,Mitzner,M,206.0,300-7923,ARIEL,WA,98603.0,S,N,35000.0,0.0,0.0,0.0,0.0
Soazig,Underwood,F,574.0,590-7184,KINGMAN,IN,47952.0,S,Y,85000.0,3.4,1000.0,0.0,1000.0
Hayo,,F,402.0,819-4285,CLEARWATER,NE,68726.0,S,Y,80000.0,,103.0,0.0,103.0
Sanford,Grandbois,M,479.0,926-3382,LONSDALE,,72087.0,M,Y,55000.0,7.0,0.0,40.0,20.0
Yulan,Musin,M,918.0,608-5308,WAURIKA,OK,73573.0,M,Y,,3.0555556,0.0,2000.0,1000.0
Claus,O'Young,F,,989-6705,,CO,80614.0,S,,25000.0,4.63,0.0,0.0,0.0
Aneurin,Hamming,F,860.0,111-2665,WATERBURY,CT,6724.0,M,Y,20000.0,5.0,0.0,24500.0,
Ljudmilla,Aponte,F,270.0,930-7809,BURGIN,KY,40310.0,S,,20000.0,2.9444444,20.0,0.0,0.0
Ravinder,Fernald,M,304.0,442-3150,,WV,25287.0,S,N,85000.0,6.5,2000.0,0.0,0.0
Rowan,Fauth,F,270.0,617-7221,ORLANDO,,,S,N,15000.0,2.6666667,20.0,0.0,0.0
Masatsugu,Royle,M,815.0,321-7461,HECKER,IL,62248.0,S,N,5000.0,3.0,2000.0,0.0,
Minghong,Coradeschi,,732.0,839-5945,FRANKLINVILLE,NJ,8322.0,,,85000.0,2.4251041,1000.0,0.0,0.0
Joy,Samaddar,M,479.0,123-5196,AUSTIN,AR,72007.0,S,Y,45000.0,7.0,20.0,0.0,20.0
,Strubbe,M,,882-7306,MURRAYVILLE,GA,30564.0,S,N,40000.0,6.0,2700.0,0.0,0.0
Ashid,Kankanhalli,M,435.0,332-1134,CLARKSTON,UT,84305.0,S,N,100000.0,7.0,2475.0,0.0,0.0
Berthier,Upadhyaya,F,787.0,,PATILLAS,PR,723.0,S,N,95000.0,0.0,0.0,0.0,0.0
Kisaburo,Goradia,F,765.0,,FRANKFORT,IN,46041.0,M,N,70000.0,3.4,0.0,2000.0,0.0
Burke,Agnew,F,860.0,467-5653,STAFFORD SPRINGS,CT,6076.0,S,N,35000.0,5.0,12750.0,0.0,0.0
Hidemi,Rothe,M,205.0,213-9030,OXFORD,AL,36203.0,M,Y,75000.0,5.0,0.0,3000.0,
,Iline,M,,229-4222,WINONA,MN,55987.0,S,N,85000.0,7.85,3300.0,0.0,0.0
Dipankar,Linehan,M,252.0,539-5388,CHARLOTTE,NC,28265.0,S,Y,50000.0,6.7814684,3300.0,,3300.0
Bodonirina,Nastea,,413.0,136-3363,SPRINGFIELD,MA,1152.0,,N,,5.3,3575.0,0.0,0.0
Wenceslas,Koskiala,F,909.0,894-8628,SAN JOSE,,95113.0,,Y,80000.0,9.3,87.0,0.0,272.0
Andrei,Parmee,F,603.0,926-7971,CENTER STRAFFORD,NH,,M,Y,70000.0,0.0,0.0,0.0,0.0
Jianyang,Kawanobe,F,228.0,892-2412,BUCKATUNNA,MS,39322.0,S,Y,15000.0,5.0,6000.0,0.0,1500.0
Grit,Hittos,F,865.0,833-6947,CHATTANOOGA,TN,37411.0,S,Y,45000.0,0.0,0.0,0.0,0.0
Alec,Sirmakessis,M,402.0,243-8296,HUMPHREY,NE,68642.0,S,N,100000.0,6.84,103.0,0.0,0.0
Carolina,Heylen,F,817.0,293-3035,LUBBOCK,TX,79411.0,M,,60000.0,0.0,0.0,0.0,0.0
Joacheim,Daya,M,206.0,983-2587,HANSVILLE,WA,98340.0,S,N,5000.0,0.0,0.0,0.0,0.0
Dhaval,Lindblad,F,231.0,862-3724,HOUGHTON,MI,49931.0,M,Y,10000.0,3.9,,6200.0,3100.0
Jiangtao,Maiocchi,F,434.0,161-4637,ASSAWOMAN,,23302.0,,N,50000.0,5.75,900.0,0.0,0.0
,Strnad,M,360.0,639-2826,OTIS ORCHARDS,WA,99027.0,S,N,75000.0,0.0,0.0,,0.0
Alonso,Shanmugasundaram,,,769-8301,KING SALMON,AK,99613.0,S,N,35000.0,0.0,0.0,0.0,0.0
,Perfilyeva,M,401.0,242-5928,CENTRAL FALLS,RI,2863.0,S,N,90000.0,0.0,0.0,0.0,0.0
Sharada,Arthan,F,606.0,301-3839,,KY,41542.0,S,Y,5000.0,2.1111112,20.0,0.0,20.0
,Ingalls,F,978.0,987-7413,SWANSEA,MA,2777.0,,Y,20000.0,5.3,0.0,7150.0,1000.0
Zhiguo,Reid,F,502.0,,DRIFT,KY,,M,Y,,4.611111,0.0,40.0,20.0
Sudipto,Efe,M,202.0,384-7970,WASHINGTON,DC,20534.0,M,N,95000.0,9.0,0.0,2740.0,
Manuk,Renegar,M,270.0,117-3864,,KY,42332.0,S,N,75000.0,6.0,20.0,0.0,0.0
Shivaraman,Braccini,M,808.0,254-5582,ANAHOLA,HI,96703.0,M,N,15000.0,3.743421,0.0,2080.0,0.0
Shigeaki,Hoffner,,,960-3685,LENOX DALE,,1242.0,M,Y,35000.0,5.3,0.0,7150.0,1000.0
Zenon,Rivers,M,915.0,446-8549,ODESSA,TX,79765.0,M,N,40000.0,0.0,0.0,0.0,0.0
Bent,Disney,M,307.0,988-5058,TORRINGTON,,82240.0,,N,65000.0,0.0,0.0,0.0,0.0
Gwenole,Aghili,F,307.0,324-5471,SINCLAIR,,82334.0,M,Y,75000.0,,,0.0,0.0
Marlo,Chomsky,M,302.0,190-4205,WILMINGTON,DE,19802.0,S,N,,5.95,110.0,0.0,0.0
Garry,Trivett,M,907.0,597-5640,SOLDOTNA,AK,99669.0,,Y,75000.0,0.0,0.0,0.0,0.0
Saeeiab,Sipusik,F,208.0,704-9454,KINGSTON,,83839.0,S,,50000.0,7.8,3300.0,0.0,
Valentine,Latil,M,207.0,817-7160,ESTCOURT STATION,ME,4741.0,M,Y,95000.0,8.5,0.0,5700.0,2850.0
Antonis,Uthaisombut,F,808.0,240-9999,HONOLULU,HI,96849.0,S,Y,15000.0,3.743421,1040.0,0.0,1040.0
Piers,Gjerlov,M,205.0,468-2232,BEAR CREEK,AL,35543.0,S,N,70000.0,5.0,1500.0,0.0,0.0
Yiftach,Noriega,F,765.0,282-2229,PONETO,IN,46781.0,,N,10000.0,3.4,1000.0,0.0,
Ramakant,,F,802.0,183-9130,RUPERT,VT,,M,Y,100000.0,4.994672,0.0,6600.0,3300.0
Jeffry,Kesselman,F,304.0,527-5872,WOLFCREEK,WV,24993.0,M,N,45000.0,5.45,0.0,4000.0,0.0
Renate,Tagansky,,484.0,613-5251,,PA,15082.0,M,Y,50000.0,3.07,0.0,0.0,0.0
,Chorvat,M,619.0,774-9174,,CA,93120.0,S,Y,45000.0,9.3,87.0,0.0,272.0
Shachindra,Leonidas,F,,317-9274,MC ROBERTS,KY,41835.0,M,Y,85000.0,6.0,0.0,40.0,20.0
,Hameroff,M,956.0,714-7813,TEMPLE,TX,76501.0,S,N,5000.0,0.0,0.0,0.0,0.0
Tarun,,F,240.0,831-1864,BORING,,21020.0,S,N,100000.0,4.75,2400.0,0.0,0.0
Gaston,Grue,F,501.0,152-4823,PARKDALE,AR,71661.0,S,N,75000.0,7.0,,0.0,0.0
,Capaccioli,F,765.0,342-7800,SOUTH BEND,IN,46614.0,M,N,50000.0,3.4,0.0,2000.0,
Annita,Sancho,M,303.0,444-2535,COLORADO SPRINGS,CO,80938.0,S,N,5000.0,4.63,0.0,0.0,0.0
Djamal,Sinofsky,F,,595-9072,VANDALIA,,59273.0,S,Y,95000.0,6.9,1900.0,0.0,1900.0
Kuriacose,Cagman,F,401.0,252-1072,CENTRAL FALLS,RI,2863.0,M,N,90000.0,0.0,0.0,0.0,0.0
Gitanjali,Pontow,M,253.0,195-8497,WARDEN,WA,98857.0,M,N,15000.0,,0.0,0.0,0.0
Nimish,Narasayya,M,,152-2218,BLACK DIAMOND,WA,98010.0,M,Y,40000.0,0.0,0.0,0.0,0.0
Shay,Sander,M,406.0,176-8263,GREAT FALLS,MT,59403.0,S,N,100000.0,6.9,,,0.0
Nili,Mattmann,F,801.0,918-3110,PAYSON,UT,84651.0,,N,15000.0,7.0,2475.0,0.0,0.0
Kristine,Pittarelli,F,224.0,932-5902,CHESTERFIELD,IL,62630.0,M,N,5000.0,3.0,0.0,,0.0
Samul,Kuester,,917.0,912-5754,VESTAL,NY,,M,N,,4.2143292,0.0,0.0,0.0
Aomar,,M,727.0,145-3214,BALM,FL,33503.0,,Y,35000.0,0.0,,0.0,0.0
Ruddy,Glodjo,M,207.0,168-9873,COREA,,4624.0,S,Y,15000.0,6.9580293,2850.0,0.0,2850.0
Bede,Speer,F,302.0,426-6064,DOVER,DE,19906.0,M,Y,25000.0,3.5636363,0.0,,
Fangzhen,Miyadera,F,937.0,321-8194,DAYTON,OH,45404.0,S,N,55000.0,2.3717437,1300.0,0.0,0.0
Sudip,Ireland,F,435.0,665-8172,SALT LAKE CITY,UT,84147.0,M,,30000.0,7.0,0.0,4950.0,2475.0
Gerti,Dinkloh,F,,464-9783,MAYODAN,NC,27027.0,,Y,30000.0,6.361888,3300.0,0.0,3300.0
Duccio,Machiels,F,330.0,200-8506,EAST SPRINGFIELD,OH,,S,Y,70000.0,2.8696666,1300.0,0.0,1300.0
Servaas,Sekiya,M,972.0,,ELMO,TX,75118.0,S,N,55000.0,0.0,0.0,0.0,0.0
Huapeng,Pelletreau,M,412.0,708-2719,FLEETVILLE,PA,18420.0,M,,,3.07,0.0,0.0,0.0
Yunmook,Khayat,F,207.0,337-5457,RANDOLPH,ME,4346.0,,,65000.0,8.5,2850.0,0.0,0.0
Raouf,Vollmeyer,M,,825-7455,LEBANON,NE,69036.0,,N,15000.0,,0.0,206.0,0.0
Gihyun,Arbib,M,435.0,774-1469,EDEN,UT,84310.0,M,Y,70000.0,7.0,0.0,4950.0,2475.0
Duong,Rosch,F,504.0,193-1934,FERRIDAY,LA,71334.0,M,N,95000.0,6.0,0.0,9000.0,0.0
Christa,Ranganath,M,267.0,424-1774,,PA,18248.0,M,,55000.0,3.07,0.0,0.0,0.0
